,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
25909,blackbu02,1987,1,KCA,AL,8,6,29,18,0,0,1,367,126,49,16,35,61,0.265,3.6,2.0,6,5.0,0,520.0,4,63,1.0,3.0,13.0,122.33
25910,blylebe01,1987,1,MIN,AL,15,12,37,37,8,1,0,801,249,119,46,101,196,0.249,4.01,4.0,13,9.0,0,1122.0,0,132,4.0,6.0,31.0,267.0
25911,bockura01,1987,1,SFN,NL,1,0,12,0,0,0,0,52,17,7,2,4,9,0.266,3.63,1.0,0,0.0,0,68.0,2,8,0.0,0.0,2.0,17.33
25912,boddimi01,1987,1,BAL,AL,10,12,33,33,7,2,0,678,212,105,29,78,152,0.248,4.18,4.0,10,7.0,0,950.0,0,114,7.0,4.0,19.0,226.0
25913,boevejo01,1987,1,ATL,NL,1,0,14,0,0,0,0,55,29,15,4,12,18,0.367,7.36,1.0,1,0.0,0,93.0,10,15,1.0,1.0,0.0,18.33
25914,boltoto01,1987,1,BOS,AL,1,0,29,0,0,0,0,185,83,30,5,27,49,0.331,4.38,2.0,3,2.0,0,287.0,5,33,3.0,3.0,8.0,61.67
25915,bookegr01,1987,1,SDN,NL,1,1,44,0,0,0,1,205,62,24,5,30,17,0.246,3.16,1.0,1,3.0,1,288.0,16,29,2.0,1.0,13.0,68.33
25916,bordiri01,1987,1,NYA,AL,3,1,16,1,0,0,0,99,42,28,7,12,23,0.309,7.64,0.0,0,0.0,1,149.0,6,28,1.0,0.0,2.0,33.0
25917,bosioch01,1987,1,ML4,AL,11,8,46,19,2,1,2,510,187,99,18,50,150,0.276,5.24,3.0,14,1.0,2,734.0,8,102,3.0,3.0,16.0,170.0
25918,boydoi01,1987,1,BOS,AL,1,3,7,7,0,0,0,110,47,24,6,9,12,0.318,5.89,1.0,0,2.0,2,167.0,0,31,4.0,3.0,3.0,36.67
25919,browncu03,1987,1,MON,NL,0,1,5,0,0,0,0,21,10,6,2,4,6,0.333,7.71,1.0,0,0.0,0,35.0,1,7,1.0,0.0,0.0,7.0
25920,brownmi01,1987,1,SEA,AL,0,0,1,0,0,0,0,1,3,2,0,0,0,0.75,54.0,0.0,0,0.0,0,4.0,0,2,0.0,0.0,0.0,0.33
25921,brownto05,1987,1,CIN,NL,10,13,32,31,2,0,0,549,201,102,27,61,117,0.284,5.02,7.0,2,5.0,4,791.0,1,107,10.0,7.0,15.0,183.0
25922,buicede01,1987,1,CAL,AL,6,7,57,0,0,0,17,342,87,43,12,40,109,0.213,3.39,3.0,3,2.0,0,457.0,44,45,5.0,2.0,11.0,114.0
25923,burkejo03,1987,1,SFN,NL,0,0,3,0,0,0,0,18,7,3,2,3,5,0.304,4.5,0.0,0,1.0,0,28.0,1,4,1.0,0.0,1.0,6.0
25924,burketi01,1987,1,MON,NL,7,0,55,0,0,0,18,273,64,12,3,17,58,0.196,1.19,6.0,2,0.0,0,354.0,30,18,8.0,2.0,7.0,91.0
25925,burrira01,1987,1,ML4,AL,2,2,10,2,0,0,0,69,33,15,4,12,8,0.351,5.87,3.0,2,0.0,0,109.0,2,16,1.0,2.0,2.0,23.0
25926,cadargr01,1987,1,OAK,AL,6,2,29,0,0,0,0,119,37,20,6,24,30,0.252,4.54,1.0,1,1.0,0,176.0,7,22,2.0,2.0,3.0,39.67
25927,calhoje01,1987,1,PHI,NL,3,1,42,0,0,0,1,128,25,7,1,26,31,0.168,1.48,8.0,2,1.0,0,183.0,15,13,5.0,2.0,1.0,42.67
25928,camacer01,1987,1,CLE,AL,0,1,15,0,0,0,1,41,21,14,1,5,9,0.35,9.22,1.0,4,3.0,0,69.0,10,14,1.0,0.0,0.0,13.67
25929,campbbi02,1987,1,MON,NL,0,0,7,0,0,0,0,30,18,9,2,4,4,0.36,8.1,1.0,0,0.0,0,55.0,1,12,0.0,1.0,0.0,10.0
25930,campbmi01,1987,1,SEA,AL,1,4,9,9,1,0,0,148,41,26,9,25,35,0.224,4.74,2.0,1,2.0,1,215.0,0,29,2.0,3.0,2.0,49.33
25931,candejo01,1987,1,CAL,AL,8,6,20,20,0,0,0,350,127,61,17,20,74,0.279,4.71,0.0,0,1.0,0,487.0,0,70,6.0,5.0,6.0,116.67
25932,candejo01,1987,2,NYN,NL,2,0,3,3,0,0,0,37,17,8,1,3,10,0.333,5.84,0.0,0,0.0,1,57.0,0,8,2.0,1.0,0.0,12.33
25933,candito01,1987,1,CLE,AL,7,18,32,32,7,2,0,605,193,107,28,93,111,0.25,4.78,2.0,13,4.0,2,888.0,0,132,8.0,10.0,17.0,201.67
25934,carltst01,1987,1,CLE,AL,5,9,23,14,3,0,1,327,111,65,17,63,71,0.266,5.37,3.0,5,2.0,4,493.0,3,76,6.0,4.0,13.0,109.0
25935,carltst01,1987,2,MIN,AL,1,5,9,7,0,0,0,129,54,32,7,23,20,0.31,6.7,1.0,2,2.0,1,200.0,2,35,1.0,0.0,6.0,43.0
25936,carmado01,1987,1,PHI,NL,13,11,35,35,3,2,0,633,194,99,34,69,125,0.244,4.22,7.0,3,5.0,1,886.0,0,110,11.0,5.0,6.0,211.0
25937,carych01,1987,1,ATL,NL,1,1,13,0,0,0,1,50,17,7,3,4,15,0.266,3.78,3.0,1,1.0,0,70.0,6,7,1.0,0.0,1.0,16.67
25938,caudibi01,1987,1,OAK,AL,0,0,6,0,0,0,1,24,10,8,3,1,8,0.294,9.0,0.0,0,0.0,0,35.0,5,8,0.0,0.0,0.0,8.0
25939,ceronri01,1987,1,NYA,AL,0,0,2,0,0,0,0,6,0,0,0,1,1,0.0,0.0,0.0,0,0.0,1,7.0,2,0,0.0,0.0,0.0,2.0
25940,cerutjo01,1987,1,TOR,AL,11,4,44,21,2,0,0,454,144,74,30,59,92,0.251,4.4,5.0,5,1.0,1,638.0,6,75,3.0,2.0,13.0,151.33
