,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,WAR
10,hubbeca01,253.0,154.0,535.0,431.0,260.0,33.0,10771.0,3461.0,1188.0,227.0,725.0,1677.0,3.97,,53.0,53.0,1.0,14805.0,82.0,1380.0,,,,16,1,BBWAA,3590.3333333333335,2.97799647200817,68.84
11,grovele01,300.0,141.0,616.0,457.0,298.0,55.0,11822.0,3849.0,1339.0,162.0,1187.0,2266.0,4.31,,51.0,42.0,1.0,16633.0,123.0,1594.0,,,,17,1,BBWAA,3940.6666666666665,3.0581119945863646,113.25
12,pennohe01,240.0,162.0,617.0,420.0,247.0,32.0,10715.0,3900.0,1428.0,128.0,916.0,1227.0,6.409999999999998,,65.0,36.0,6.0,15154.0,133.0,1692.0,,,,22,1,BBWAA,3571.6666666666665,3.598320111992534,44.73
13,brownmo01,239.0,130.0,481.0,332.0,271.0,49.0,9517.0,2708.0,725.0,43.0,673.0,1375.0,,,59.0,63.0,4.0,12474.0,138.0,1044.0,,,,14,1,Old Timers,3172.3333333333335,2.0568456446359145,57.21
14,nichoki01,362.0,208.0,621.0,562.0,532.0,16.0,15202.0,4929.0,1664.0,156.0,1272.0,1881.0,,,169.0,129.0,1.0,21082.0,56.0,2480.0,,,,15,1,Old Timers,5067.333333333333,2.9554006051835287,116.71000000000001
15,deandi01,150.0,83.0,317.0,230.0,154.0,30.0,5902.0,1919.0,661.0,95.0,453.0,1163.0,3.03,,12.0,27.0,5.0,8171.0,76.0,774.0,,,,12,1,BBWAA,1967.3333333333333,3.02389020670959,43.91
16,bendech01,212.0,127.0,459.0,334.0,255.0,34.0,9051.0,2645.0,823.0,40.0,712.0,1711.0,,,72.0,102.0,5.0,11928.0,109.0,1110.0,,,,16,1,Veterans,3017.0,2.4550878355982766,42.77
17,lyonste01,260.0,230.0,594.0,484.0,356.0,23.0,12483.0,4489.0,1696.0,223.0,1121.0,1073.0,5.72,,55.0,31.0,6.0,17846.0,92.0,2056.0,,,,21,1,BBWAA,4161.0,3.668348954578226,66.76
18,vanceda01,197.0,140.0,442.0,347.0,216.0,11.0,8900.0,2809.0,1068.0,132.0,840.0,2045.0,5.149999999999999,,37.0,77.0,2.0,12369.0,53.0,1246.0,,,,16,1,BBWAA,2966.6666666666665,3.24,62.940000000000005
19,fellebo01,266.0,162.0,570.0,484.0,279.0,21.0,11481.0,3271.0,1384.0,224.0,1764.0,2581.0,4.130000000000001,,75.0,60.0,13.0,16180.0,52.0,1557.0,,,,18,1,BBWAA,3827.0,3.254768748366867,65.19
20,clarkjo01,328.0,178.0,531.0,518.0,485.0,5.0,13609.0,4295.0,1417.0,159.0,1191.0,1978.0,,,182.0,,0.0,19146.0,12.0,2384.0,,,,12,1,Veterans,4536.333333333333,2.8113013446983617,84.98
21,rixeyep01,266.0,251.0,692.0,552.0,290.0,14.0,13484.0,4633.0,1572.0,92.0,1082.0,1350.0,5.65,,97.0,76.0,10.0,18754.0,97.0,1986.0,,,,21,1,Veterans,4494.666666666667,3.147730643725897,57.35
22,faberre01,254.0,213.0,669.0,483.0,273.0,28.0,12260.0,4106.0,1430.0,111.0,1213.0,1471.0,5.280000000000001,,52.0,103.0,2.0,17360.0,134.0,1813.0,,,,20,1,Veterans,4086.6666666666665,3.1492659053833605,67.67
23,grimebu01,270.0,212.0,616.0,497.0,314.0,18.0,12540.0,4412.0,1638.0,148.0,1295.0,1512.0,6.19,,92.0,97.0,12.0,17959.0,94.0,2048.0,,,,19,1,Veterans,4180.0,3.5267942583732057,46.73
24,keefeti01,342.0,225.0,600.0,594.0,554.0,2.0,15149.0,4438.0,1474.0,75.0,1233.0,2564.0,,,240.0,,0.0,20941.0,7.0,2470.0,,,,14,1,Veterans,5049.666666666667,2.6271040992804804,89.14
