,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
462,rogerke01,219,156,762,474,36,28,9908,3457,1568,339,1175,1968,5.647,53.0,79,127.0,23,14280.0,133,1739,94.0,92.0,349.0,20,0.0,0,50.53,1989 - 2008,Kenny Rogers,2,0.0,3302.6666666666665,4.272910779168349
465,tapanke01,143,125,361,354,26,0,6795,2407,1094,260,554,1482,4.019,30.0,44,53.0,6,9600.0,1,1168,80.0,68.0,155.0,13,0.0,0,29.21,1989 - 2001,Kevin Tapani,2,0.0,2265.0,4.347019867549669
466,burbada01,115,87,511,234,6,3,5333,1777,886,201,762,1398,4.62,53.0,75,58.0,4,7749.0,71,961,51.0,55.0,130.0,15,0.0,0,16.23,1990 - 2004,Dave Burba,2,0.0,1777.6666666666667,4.485655353459591
467,ericksc01,142,136,389,364,51,0,7082,2586,1203,228,865,1252,4.9460000000000015,32.0,68,103.0,3,10284.0,10,1306,67.0,70.0,316.0,15,0.0,0,24.81,1990 - 2006,Scott Erickson,2,1.0,2360.6666666666665,4.586416266591359
468,hammoch01,66,62,441,136,5,3,3371,1163,517,105,387,712,3.888,32.0,31,31.0,9,4821.0,67,572,54.0,32.0,109.0,14,0.0,0,9.11,1990 - 2006,Chris Hammond,2,0.0,1123.6666666666667,4.140907742509641
470,nagych01,129,105,318,297,31,0,5864,2188,980,217,586,1242,4.159,37.0,45,51.0,4,8454.0,9,1061,49.0,55.0,201.0,14,0.0,0,24.81,1990 - 2003,Charles Nagy,2,0.0,1954.6666666666667,4.512278308321965
472,ashbyan01,98,110,309,285,21,1,5432,1857,829,205,540,1173,4.311999999999999,49.0,58,61.0,4,7692.0,10,922,99.0,51.0,170.0,14,0.0,0,21.53,1991 - 2004,Andy Ashby,2,0.0,1810.6666666666667,4.120581737849779
474,castifr01,82,104,297,268,10,2,4786,1660,809,190,506,1101,3.829,32.0,33,59.0,9,6871.0,9,878,71.0,46.0,79.0,13,0.0,0,9.4,1991 - 2005,Frank Castillo,2,0.0,1595.3333333333333,4.563936481404095
476,eldreca01,86,74,341,192,19,9,4104,1340,672,173,576,939,3.816,17.0,39,50.0,2,5930.0,45,716,40.0,43.0,103.0,14,0.0,0,16.22,1991 - 2005,Cal Eldred,2,0.0,1368.0,4.421052631578948
477,fasseje01,121,124,720,242,17,25,6101,2083,929,214,724,1643,4.843,50.0,86,37.0,8,8810.0,146,1042,108.0,62.0,144.0,16,0.0,0,25.18,1991 - 2006,Jeff Fassero,2,0.0,2033.6666666666667,4.111293230617932
478,hentgpa01,131,112,344,306,34,1,6226,2111,996,269,775,1290,3.6880000000000006,29.0,66,49.0,10,8925.0,15,1076,57.0,60.0,171.0,14,0.0,0,33.0,1991 - 2004,Pat Hentgen,2,1.0,2075.3333333333335,4.319306135560552
480,mussimi01,270,153,537,536,57,0,10688,3460,1458,376,785,2813,4.6,29.0,71,60.0,1,14593.0,0,1559,90.0,82.0,293.0,18,1.0,0,82.78,1991 - 2008,Mike Mussina,2,1.0,3562.6666666666665,3.6831961077844313
481,neaglde01,124,92,392,286,20,3,5671,1887,891,250,594,1415,4.008,44.0,47,53.0,6,8031.0,23,948,79.0,55.0,120.0,13,0.0,0,22.52,1991 - 2003,Denny Neagle,2,1.0,1890.3333333333333,4.242108975489332
486,astacpe01,129,124,392,343,31,0,6590,2292,1140,291,726,1664,4.957000000000001,54.0,59,111.0,18,9472.0,11,1213,96.0,69.0,201.0,15,0.0,0,28.28,1992 - 2006,Pedro Astacio,2,0.0,2196.6666666666665,4.670713201820941
487,batismi01,102,115,658,248,11,41,5869,2021,974,194,899,1250,5.816000000000001,58.0,102,79.0,6,8643.0,164,1089,88.0,74.0,205.0,18,0.0,0,14.48,1992 - 2012,Miguel Batista,2,0.0,1956.3333333333333,4.480831487476572
