,date_box,Opponent,W,L,Sv,ERA,IP,SO,H,ER,R,HR,BB,IBB,WP,HBP,BK
2,04-13-1991 *,at Reds,1,0,0,3.60,5.0,4,8,2,3,1,2,0,0,0,0
3,04-17-1991 *,vs Astros,0,1,0,5.40,5.0,1,5,3,3,0,4,0,0,0,0
4,04-22-1991 *,at Dodgers,1,0,0,1.50,6.0,4,2,1,1,1,0,0,0,0,0
5,04-27-1991 *,at Astros,0,0,0,1.50,6.0,3,2,1,1,0,3,0,0,0,0
8,05-01-1991 *,at Cardinals,0,0,0,6.00,6.0,1,6,4,4,1,2,0,0,0,0
9,05-07-1991 *,vs Cardinals,1,0,0,2.25,8.0,3,7,2,2,0,3,0,0,0,0
10,05-12-1991 *,at Pirates,1,0,0,0.00,6.0,4,4,0,1,0,3,0,0,0,0
11,05-17-1991 *,vs Pirates,1,0,0,4.76,5.2,3,6,3,3,1,2,0,0,0,0
12,05-22-1991 *,vs Padres,0,1,0,9.64,4.2,5,7,5,5,1,2,0,0,0,0
13,05-27-1991 *,at Padres,1,0,0,0.00,7.0,7,6,0,1,0,3,0,0,0,0
16,06-01-1991 *,at Giants,0,1,0,12.46,4.1,4,6,6,6,1,2,0,0,0,0
17,06-07-1991 *,vs Expos,0,1,0,9.82,3.2,5,7,4,4,0,3,0,1,0,0
18,06-12-1991 *,at Mets,1,0,0,1.00,9.0,3,5,1,1,1,3,0,0,0,0
19,06-17-1991 *,at Phillies,0,0,0,6.23,4.1,1,8,3,3,2,0,0,0,0,0
20,06-22-1991 *,vs Mets,0,1,0,5.40,3.1,0,7,2,3,0,1,0,1,0,0
21,06-28-1991 *,vs Dodgers,0,0,0,1.17,7.2,7,5,1,1,0,2,0,0,0,0
24,07-03-1991 *,vs Reds,1,0,0,7.50,6.0,5,8,5,5,1,1,0,0,0,0
25,07-11-1991 *,vs Cardinals,1,0,0,0.00,7.1,5,2,0,1,0,1,0,0,0,0
26,07-16-1991 *,vs Cubs,0,0,0,6.00,6.0,2,5,4,5,1,3,0,0,1,0
27,07-21-1991 *,at Cardinals,1,0,0,1.17,7.2,5,2,1,1,1,2,0,0,0,0
28,07-26-1991 *,at Cubs,1,0,0,2.16,8.1,4,5,2,2,1,4,0,0,0,0
29,07-30-1991 *,vs Pirates,0,0,0,0.00,2.1,0,2,0,0,0,0,0,0,0,0
32,08-04-1991 *,vs Padres,1,0,0,7.20,5.0,4,8,4,4,1,0,0,0,0,0
33,08-09-1991 *,vs Astros,1,0,0,0.00,7.1,5,8,0,2,0,2,0,0,0,0
34,08-14-1991 *,at Giants,0,1,0,13.50,2.0,2,7,3,3,1,0,0,0,0,0
35,08-20-1991 *,at Reds,0,1,0,7.71,4.2,4,6,4,4,0,2,0,0,0,0
36,08-25-1991 *,vs Phillies,0,1,0,12.00,3.0,2,6,4,5,2,3,0,0,0,0
37,08-30-1991 *,at Phillies,1,0,0,1.29,7.0,10,4,1,1,1,2,0,0,0,0
40,09-04-1991 *,at Expos,0,0,0,5.40,5.0,7,5,3,3,0,3,0,1,0,0
41,09-10-1991 *,vs Giants,1,0,0,0.00,8.2,4,3,0,1,0,2,0,0,1,1
42,09-15-1991 *,vs Dodgers,1,0,0,1.00,9.0,6,4,1,1,0,0,0,0,0,0
43,09-20-1991 *,at Dodgers,1,0,0,0.00,9.0,5,6,0,0,0,1,0,0,0,0
44,09-25-1991 *,vs Reds,0,0,0,7.20,5.0,4,7,4,4,1,1,0,0,1,0
45,09-29-1991 *,at Astros,0,0,0,3.68,7.1,3,7,3,3,1,0,0,0,0,0
