,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
3208,fuchsch01,6,10,47,13,5,1,497,186,90,15,73,41,1.1700000000000002,,4,6.0,5,750.0,13,105,,,,3,0.0,,-1.26
3209,hanyzed01,12,13,58,25,6,0,654,213,80,11,79,81,1.4400000000000002,,4,4.0,1,942.0,14,103,,,,5,0.0,,1.3800000000000001
3210,hickeji01,0,1,9,1,0,0,32,19,8,1,7,3,0.86,,0,1.0,0,58.0,7,13,,,,2,0.0,,-0.51
3211,kehnch01,0,0,3,1,0,0,23,8,6,2,4,3,0.26,,0,0.0,0,34.0,2,6,,,,1,0.0,,-0.22
3212,kennebi01,1,3,31,4,1,5,191,71,48,3,44,23,0.93,,1,0.0,0,299.0,17,55,,,,3,0.0,,-2.0
3213,lapihan01,0,2,4,2,0,0,69,22,18,1,16,8,0.63,,2,2.0,0,109.0,0,19,,,,2,0.0,,-0.4
3214,leibeha01,0,1,1,1,1,0,27,9,6,0,5,5,0.29,,0,1.0,0,42.0,0,9,,,,1,0.0,,-0.31
3215,lindejo01,8,18,55,28,15,1,755,247,125,20,161,146,0.76,,12,7.0,1,1141.0,19,147,,,,2,0.0,,1.2399999999999998
3216,lowrysa01,0,0,6,0,0,0,63,21,12,1,10,3,0.51,,0,0.0,0,92.0,6,12,,,,2,0.0,,0.06
3217,mcculph01,0,0,1,0,0,0,9,5,2,0,2,2,0.33,,0,0.0,0,17.0,1,4,,,,1,0.0,,-0.08
3218,nayloea01,0,5,20,4,1,0,181,68,41,5,29,19,0.28,,2,0.0,1,272.0,12,43,,,,1,0.0,,-0.9
3219,permele01,0,1,8,1,1,0,52,11,6,0,11,6,0.42,,0,1.0,0,74.0,5,6,,,,2,0.0,,0.29
3220,poatra01,22,30,116,47,15,1,1200,425,202,48,162,178,2.23,,4,4.0,4,1761.0,28,231,,,,6,0.0,,0.08999999999999997
3221,queenme01,27,40,146,77,15,1,1670,567,315,68,329,328,2.58,,11,11.0,3,2540.0,23,354,,,,8,0.0,,-0.7200000000000001
3222,reynoal01,182,107,434,309,137,49,7477,2193,915,133,1261,1423,3.05,,59,57.0,6,10660.0,97,1026,,,,13,0.0,,25.66
3223,sainjo01,139,116,412,245,140,51,6377,2145,824,180,619,910,3.39,,20,30.0,8,8998.0,124,947,,,,11,0.0,,24.81
3224,savagbo01,16,27,129,31,10,9,1269,433,203,23,215,171,1.42,,7,2.0,1,1882.0,59,227,,,,5,0.0,,0.8400000000000001
