,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy
71,perryga01,314.0,265.0,777.0,690.0,303.0,11.0,16051.0,4938.0,1846.0,399.0,1379.0,3534.0,6.348999999999999,164.0,160.0,108.0,6.0,21953.0,33.0,2128.0,,,,22,1,BBWAA
72,jenkife01,284.0,226.0,664.0,594.0,267.0,7.0,13502.0,4142.0,1669.0,484.0,997.0,3192.0,4.836000000000001,116.0,62.0,84.0,18.0,18400.0,37.0,1853.0,,,,19,1,BBWAA
73,seaveto01,311.0,205.0,656.0,647.0,231.0,1.0,14348.0,3971.0,1521.0,380.0,1390.0,3640.0,5.027000000000001,116.0,126.0,76.0,8.0,19369.0,6.0,1674.0,,,,20,1,BBWAA
74,fingero01,114.0,118.0,944.0,37.0,4.0,341.0,5104.0,1474.0,549.0,123.0,492.0,1299.0,4.319000000000001,109.0,40.0,39.0,7.0,6942.0,709.0,615.0,,,,17,1,BBWAA
75,newhoha01,207.0,150.0,488.0,374.0,212.0,26.0,8979.0,2674.0,1016.0,137.0,1249.0,1796.0,3.9299999999999997,,65.0,19.0,7.0,12648.0,79.0,1197.0,,,,17,1,Veterans
76,carltst01,329.0,244.0,741.0,709.0,254.0,2.0,15652.0,4672.0,1864.0,414.0,1833.0,4136.0,6.872999999999999,150.0,183.0,53.0,90.0,21683.0,13.0,2130.0,,,,24,1,BBWAA
77,willivi01,249.0,205.0,513.0,471.0,388.0,11.0,11988.0,3621.0,1167.0,66.0,1212.0,1651.0,,,94.0,156.0,6.0,16263.0,41.0,1620.0,,,,13,1,Veterans
78,bunniji01,224.0,184.0,591.0,519.0,151.0,16.0,11281.0,3433.0,1366.0,372.0,1000.0,2855.0,4.4110000000000005,98.0,47.0,160.0,8.0,15618.0,39.0,1527.0,,,,17,1,Veterans
79,niekrph01,318.0,274.0,864.0,716.0,245.0,29.0,16213.0,5044.0,2012.0,482.0,1809.0,3342.0,6.683,86.0,226.0,123.0,42.0,22677.0,83.0,2337.0,,,,24,1,BBWAA
80,suttodo01,324.0,256.0,774.0,756.0,178.0,5.0,15847.0,4692.0,1914.0,472.0,1343.0,3574.0,5.941000000000001,102.0,112.0,82.0,21.0,21631.0,12.0,2104.0,,,,23,1,BBWAA
