,playerID,ERA+,WHIP,H9,HR9,BB9,SO9,SO_W,BIP,BIP_perc,ERA_plus,ER_lg,GR_leverage_index_avg,IPouts_relief,IPouts_start,PPF,PPF_custom,RA,RS_def_total,RpO_replacement,WAA,WAA_adj,WAR,WAR_rep,oppRpG,oppRpG_rep,pyth_exponent,pyth_exponent_rep,runs_above_avg,runs_above_avg_adj,runs_above_rep,teamRpG,waa_win_perc,waa_win_perc_rep,xRA,xRA_def_pitcher,xRA_final,xRA_sprp_adj,W,L,G,GS,CG,SV,SHO,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,TimeFrame,Name,FinalYear,cluster_label
0,kaatji01,101.03571428571429,1.3781428571428571,9.674999999999999,0.8214285714285714,2.7214285714285715,4.3428571428571425,2.2723915050784855,538.7142857142857,0.11822857142857143,101.72901183925161,66.77092857142857,1.4002107142857143,40.214285714285715,445.14285714285717,102.28571428571429,101.97467857142858,72.78571428571429,12.864285714285714,0.18064285714285713,7.753400000000001,-3.5333,45.21,1.4641642857142858,4.188892857142857,4.5130875,1.8254285714285714,1.8472142857142857,30.011000000000003,1.7654999999999998,400.947,4.1133364285714284,0.4960892857142857,0.4572142857142857,72.77689285714285,1.7394642857142857,73.85753571428572,0.9511785714285714,283,237,898,625,180,18,31,13591,4620,1738,395,1083,2461,0.2536928230190544,116.0,128,122.0,6,19023.0,102,2038,,,,25,1.0,,4530.333333333333,3.4527260687219488,1959 - 1983,Jim Kaat,1983,3
1,normafr01,91.94117647058823,1.601764705882353,9.41764705882353,0.9882352941176471,5.0,6.705882352941177,1.5987730061349694,351.11764705882354,0.07518235294117648,94.07257816851701,45.28041176470589,1.255864705882353,36.76470588235294,305.1764705882353,99.41176470588235,100.12541176470589,50.8235294117647,-6.511764705882353,0.18047058823529413,0.7158999999999999,-0.9409,17.13,1.0208882352941178,4.310685882352941,4.469745294117647,1.8340588235294117,1.845,15.886999999999995,0.07382352941176465,173.993,4.112248823529412,0.4835647058823529,0.4617764705882353,52.29494117647059,0.09647058823529402,51.75805882352942,0.9434705882352942,104,103,403,268,56,8,15,5819,1790,784,188,815,1303,0.2352477329478249,79.0,89,23.0,12,8279.0,42,864,,,,16,0.0,,1939.6666666666667,3.637738443031449,1962 - 1980,Fred Norman,1980,7
2,perryga01,113.24,1.2429599999999998,8.788,0.7040000000000001,2.388,5.756,2.5627266134880347,665.64,0.144884,113.5327557716772,86.56808000000001,1.455308,22.36,619.64,99.76,99.8432,85.12,-8.816,0.18388000000000002,44.906,-2.6161,93.03,2.030208,3.7916204,4.7445152,1.80192,1.86292,394.237,14.54792,863.206,4.1476684,0.544916,0.437812,97.9094,-1.09532,100.88948,2.01816,314,265,777,690,303,11,53,16051,4938,1846,399,1379,3534,0.2352660917623517,164.0,160,108.0,6,21953.0,33,2128,,,,22,1.0,BBWAA,5350.333333333333,3.1052270886549125,1962 - 1983,Gaylord Perry,1983,3
3,johnto01,112.28571428571429,1.3278214285714287,9.525,0.625,2.435714285714286,4.160714285714286,1.7831612390786338,567.6428571428571,0.1234,112.82535475338827,69.0825,1.0450321428571427,12.107142857142858,492.5357142857143,98.10714285714286,97.91842857142856,72.03571428571429,7.685714285714285,0.18575,21.642799999999998,-2.491,62.08,1.5334642857142857,4.069773928571428,4.738421428571429,1.8250714285714285,1.8669999999999998,173.508,6.391464285714286,577.543,4.223741785714286,0.5205714285714286,0.44662142857142856,78.50699999999999,0.637642857142857,78.23242857142857,1.868142857142857,288,231,760,700,162,4,46,14131,4783,1749,302,1259,2245,0.2528814634662155,102.0,187,98.0,16,19692.0,22,2017,,,,26,0.0,,4710.333333333333,3.341801712546883,1963 - 1989,Tommy John,1989,3
4,niekrph01,109.6923076923077,1.418923076923077,8.965384615384615,0.8500000000000001,3.8076923076923075,5.15,1.8474295190713101,655.5384615384615,0.141,110.06038080823002,89.17138461538462,1.6216615384615383,30.153846153846153,593.3846153846154,103.8076923076923,103.41434615384615,89.88461538461539,-22.97692307692308,0.1845,50.4554,-2.608,96.96,1.8884423076923076,3.978346923076923,4.685976538461539,1.8146153846153845,1.8615,454.514,15.962961538461538,909.984,4.183704615384615,0.5320730769230769,0.4475692307692307,96.47973076923077,-4.2035,107.36592307692308,2.2968461538461535,318,274,864,716,245,29,45,16213,5044,2012,482,1809,3342,0.2372865409041727,86.0,226,123.0,42,22677.0,83,2337,,,,24,1.0,BBWAA,5404.333333333333,3.350644544501326,1964 - 1987,Phil Niekro,1987,3
5,tiantlu01,114.3157894736842,1.235578947368421,8.173684210526316,0.8947368421052632,2.9473684210526314,6.38421052631579,2.1884057971014492,552.578947368421,0.12119473684210527,114.56952043573854,77.06415789473685,1.170578947368421,24.263157894736842,526.2105263157895,103.6842105263158,103.76336842105263,73.6842105263158,9.236842105263158,0.18026315789473682,34.0741,-1.3204,65.63,1.7304842105263156,3.7345252631578947,4.601991578947368,1.7932105263157894,1.8501052631578947,256.39300000000003,14.182473684210526,556.356,4.081594736842105,0.5455421052631578,0.4450368421052632,83.22336842105263,1.433578947368421,87.17857894736842,1.718578947368421,229,172,573,484,187,15,49,10459,3075,1280,346,1104,2416,0.2272055563765331,53.0,27,49.0,4,14365.0,51,1400,,,,19,0.0,,3486.333333333333,3.304331198011282,1964 - 1982,Luis Tiant,1982,3
6,wiseri01,99.52941176470588,1.3053529411764706,9.405882352941177,0.7411764705882353,2.341176470588235,4.705882352941177,2.048507462686567,613.8823529411765,0.13308235294117646,99.97681841258947,76.05723529411765,0.8023176470588236,18.647058823529413,532.8823529411765,101.58823529411765,101.42282352941177,85.47058823529412,-10.200000000000001,0.18129411764705883,4.089300000000001,-1.7255,31.93,1.7391176470588237,4.060305882352941,4.616359411764706,1.8176470588235294,1.8519411764705882,52.146,1.9822941176470588,324.39300000000003,4.0929617647058825,0.5041882352941176,0.44467058823529415,84.0330588235294,-1.6994117647058824,88.538,1.6704705882352942,188,181,506,455,138,0,30,9381,3227,1281,261,804,1647,0.2559486040609137,83.0,49,44.0,9,13157.0,15,1455,,,,18,0.0,,3127.0,3.686920370962584,1964 - 1982,Rick Wise,1982,3
7,carltst01,112.44444444444444,1.3676666666666666,8.848148148148148,0.9333333333333335,3.4703703703703703,6.681481481481482,2.2564102564102564,566.8518518518518,0.12528518518518517,112.91230493630582,79.62781481481481,1.1744074074074073,6.592592592592593,573.1481481481482,101.88888888888889,102.24822222222222,78.88888888888889,5.0851851851851855,0.18277777777777776,39.6832,-2.7065,84.11,1.745937037037037,4.047503703703704,4.698517407407407,1.8161481481481483,1.8604814814814816,349.45,11.336555555555556,784.013,4.148677037037037,0.5234185185185185,0.44229999999999997,87.52518518518518,-0.014074074074074175,91.83148148148148,2.2862222222222224,329,244,741,709,254,2,55,15652,4672,1864,414,1833,4136,0.2298760086597126,150.0,183,53.0,90,21683.0,13,2130,,,,24,1.0,BBWAA,5217.333333333333,3.215435727063634,1965 - 1988,Steve Carlton,1988,3
8,hillejo01,135.07142857142858,1.3407142857142857,7.871428571428572,0.7714285714285715,4.185714285714286,7.085714285714286,1.936448598130841,250.5,0.05485714285714286,136.14301729294127,37.205357142857146,1.6605,196.92857142857142,67.92857142857143,103.0,102.53099999999999,31.285714285714285,-2.9857142857142853,0.18128571428571427,13.9544,4.329899999999999,30.529999999999998,0.8750642857142857,3.9998285714285715,4.295099285714286,1.8130000000000002,1.8319285714285716,117.742,8.675714285714285,227.174,4.094469285714285,0.5120357142857143,0.47807857142857146,40.582857142857144,-0.1407857142857143,39.69585714285714,-2.1172857142857144,87,76,545,43,13,125,6,3726,1040,391,110,535,1036,0.2182123373898447,71.0,39,12.0,1,5206.0,363,438,,,,15,0.0,,1242.0,2.833333333333333,1965 - 1980,John Hiller,1980,2
9,jacksgr01,108.05,1.43125,8.690000000000001,0.7849999999999999,4.195,5.585,1.7397260273972603,211.9,0.04641,109.68285162722563,27.4832,1.473355,121.95,81.75,99.25,100.23495,29.4,14.165000000000001,0.17855000000000001,1.0289000000000001,0.1058,14.16,0.651375,4.1106615,4.2105815,1.8170000000000002,1.8235500000000002,14.869,0.29015,131.189,4.0372465,0.492845,0.48111499999999996,31.1915,-0.1119,30.14345,-1.16765,86,75,692,83,16,79,5,4076,1272,523,109,511,889,0.237845923709798,71.0,44,21.0,9,5749.0,291,589,,,,18,0.0,,1358.6666666666667,3.4644259077526987,1965 - 1982,Grant Jackson,1982,1
